"Year";"Forest zone";"Canton";"Type of owner";"Forest owners number";"Total forest area";"Productive forest area"
"1975";"Switzerland";"Valais / Wallis";"Private forest";15488;8143;8143
"1975";"Switzerland";"Valais / Wallis";"Public forest";246;98191;76645
"1975";"Switzerland";"Valais / Wallis";">>Federal forest";1;11;3
"1975";"Switzerland";"Valais / Wallis";">>Cantonal forest";1;62;30
"1975";"Switzerland";"Valais / Wallis";">>Municipality forest";2;888;782
"1975";"Switzerland";"Valais / Wallis";">>Bourgeois forest";164;90811;71282
"1975";"Switzerland";"Valais / Wallis";">>Other public forest";78;6419;4548
"1975";"Switzerland";"Neuchâtel";"Type of owners - total";3078;28394;26201
"1975";"Switzerland";"Neuchâtel";"Private forest";3012;11332;11332
"1975";"Switzerland";"Neuchâtel";"Public forest";66;17062;14869
"1975";"Switzerland";"Neuchâtel";">>Federal forest";1;150;64
"1975";"Switzerland";"Neuchâtel";">>Cantonal forest";1;2756;2490
"1975";"Switzerland";"Neuchâtel";">>Municipality forest";60;13818;11977
"1975";"Switzerland";"Neuchâtel";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Neuchâtel";">>Other public forest";4;338;338
"1975";"Switzerland";"Genève";"Type of owners - total";1636;2672;2526
"1975";"Switzerland";"Genève";"Private forest";1609;1465;1465
"1975";"Switzerland";"Genève";"Public forest";27;1207;1061
"1975";"Switzerland";"Genève";">>Federal forest";1;5;4
"1975";"Switzerland";"Genève";">>Cantonal forest";1;1076;1000
"1975";"Switzerland";"Genève";">>Municipality forest";24;113;57
"1975";"Switzerland";"Genève";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Genève";">>Other public forest";1;13;0
"1975";"Switzerland";"Jura";"Type of owners - total";0;0;0
"1975";"Switzerland";"Jura";"Private forest";0;0;0
"1975";"Switzerland";"Jura";"Public forest";0;0;0
"1975";"Switzerland";"Jura";">>Federal forest";0;0;0
"1975";"Switzerland";"Jura";">>Cantonal forest";0;0;0
"1975";"Switzerland";"Jura";">>Municipality forest";0;0;0
"1975";"Switzerland";"Jura";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Jura";">>Other public forest";0;0;0
"1975";"Jura";"Switzerland";"Type of owners - total";32510;197510;175669
"1975";"Jura";"Switzerland";"Private forest";31954;43740;43740
"1975";"Jura";"Switzerland";"Public forest";556;153770;131929
"1975";"Jura";"Switzerland";">>Federal forest";1;263;177
"1975";"Jura";"Switzerland";">>Cantonal forest";9;14918;14115
"1975";"Jura";"Switzerland";">>Municipality forest";295;85947;70350
"1975";"Jura";"Switzerland";">>Bourgeois forest";234;51565;46235
"1975";"Jura";"Switzerland";">>Other public forest";17;1077;1052
